company_name,Location,location_type,Sales,URL,phone_number
Bausch Health Companies Inc,Quebec(Canada),Headquarters,8601000000,www.bauschhealth.com,
Apotex Inc,Ontario(Canada),Headquarters,2652752000,www.apotex.com,4164017328.0
Patheon Inc,Ontario(Canada),Headquarters,2155361000,www.patheon.com,9058214001.0
Arch Biopartners Inc,Ontario(Canada),Headquarters,1701275774,www.archbiopartners.com,6474287031.0
Novartis Pharmaceuticals Canada Inc,Quebec(Canada),Headquarters,663188000,www.novartis.ca,5146316775.0
Bora Pharmaceutical Services Inc,Ontario(Canada),Headquarters,596869200,ca.gsk.com,4168002160.0
Apotex Pharmachem Inc,Ontario(Canada),Headquarters,530550400,www.apotex.com,
Abbott Laboratories Co,Quebec(Canada),Headquarters,497391000,www.ca.abbott,5148327000.0
Astrazeneca Canada Inc,Ontario(Canada),Headquarters,497391000,www.astrazeneca.ca,8005655877.0
Pharmascience Inc,Quebec(Canada),Headquarters,497391000,www.pharmascience.com,5143409735.0
Teva Canada Limited,Ontario(Canada),Headquarters,464231600,www.tevacanada.com,4162918876.0
Sanofi Pasteur Limited,Ontario(Canada),Headquarters,364753400,www.sanofi.ca,4166672700.0
Tweed Inc,Ontario(Canada),Headquarters,342536602,www.tweed.com,8338189333.0
Baxter Corporation,Ontario(Canada),Headquarters,331594000,www.baxter.ca,9053696000.0
Factors Group Of Nutritional Companies Inc,British Columbia(Canada),Headquarters,331594000,www.naturalfactors.com,6047771757.0
Pfizer Canada Sri,Quebec(Canada),Headquarters,331594000,www.pfizer.ca,5146950500.0
Jamieson Wellness Inc,Ontario(Canada),Headquarters,308139872,investors.jamiesonwellness.com,4169600052.0
Jamieson Laboratories Ltd,Ontario(Canada),Headquarters,252011440,www.jamiesonvitamins.com,4169600052.0
Sandoz Canada Inc,Quebec(Canada),Headquarters,248695500,www.sandoz.ca,4506414903.0
Hoffmann-La Roche Limited,Ontario(Canada),Headquarters,243389996,www.rochecanada.com,8005611759.0
Mylan Pharmaceuticals Ulc,Ontario(Canada),Headquarters,198956400,www.mylan.ca,4162362631.0
Vita Health Products Inc,Manitoba(Canada),Headquarters,165797000,www.vitahealth.ca,2046618386.0
Confab Laboratories Inc,Quebec(Canada),Headquarters,132637600,www.confab.com,4504436666.0
Eli Lilly Canada Inc,Ontario(Canada),Headquarters,132637600,www.lilly.ca,8002684446.0
Novelion Therapeutics Inc,British Columbia(Canada),Headquarters,130432000,www.novelion.com,
Ropack Inc,Quebec(Canada),Headquarters,116057900,www.ropack.com,5143537000.0
Biovectra Inc,Prince Edward Island(Canada),Headquarters,106110080,www.biovectra.com,9025669116.0
Resilience Biotechnologies Inc,Ontario(Canada),Headquarters,102794140,www.therapurebio.com,9052866200.0
Contract Pharmaceuticals Limited Canada,Ontario(Canada),Headquarters,99478200,www.cplltd.com,9058217600.0
"Novocol Pharmaceutical Of Canada, Inc",Ontario(Canada),Headquarters,99478200,www.novocolpharma.com,5196234800.0
Trillium Health Care Products Inc,Ontario(Canada),Headquarters,92846320,www.trilliumhcp.com,6133424436.0
Corporation Abbvie,Quebec(Canada),Headquarters,82898500,www.abbvie.ca,5149069700.0
La Societe Bristol-Myers Squibb Canada,Quebec(Canada),Headquarters,82898500,www.bms.com,5143333200.0
Jubilant Draximage Inc,Quebec(Canada),Headquarters,58028950,www.draximage.com,5146948220.0
Church & Dwight Canada Corp,Ontario(Canada),Headquarters,56804200,www.churchdwight.ca,9056966570.0
Nuvo Pharmaceuticals Inc,Ontario(Canada),Headquarters,56317105,www.miravohealthcare.com,9056736980.0
Hls Therapeutics Inc,Ontario(Canada),Headquarters,54160000,www.hlstherapeutics.com,6474959000.0
Aurinia Pharmaceuticals Inc,British Columbia(Canada),Headquarters,50118000,www.auriniapharma.com,2507442487.0
Bwxt Medical Ltd,Ontario(Canada),Headquarters,49703675,www.bwxt.com,5196212130.0
Tilray Canada Ltd,British Columbia(Canada),Headquarters,48081130,www.tilray.ca,2507223991.0
Rw Consumer Products Ltd,Manitoba(Canada),Headquarters,46011402,www.rwconsumerproducts.com,2047866873.0
Greenbrook Tms Inc,Ontario(Canada),Headquarters,43129179,,9053261888.0
Stemcell Technologies Canada Inc,British Columbia(Canada),Headquarters,39762940,www.stemcell.com,6048770713.0
Knight Therapeutics Inc,Quebec(Canada),Headquarters,35644398,www.gud-knight.com,5144844483.0
Rhema Health Products Limited,British Columbia(Canada),Headquarters,34082520,www.rhemamade.com,6045160199.0
Kemira Water Solutions Canada Inc,Quebec(Canada),Headquarters,31242310,www.kemirawater.ca,
