company_name,Location,location_type,Sales,URL,phone_number
Johnson & Johnson,New Jersey(Usa),Headquarters,93775000000,www.jnj.com,(732) 524-0400
Pfizer Inc.,New York(Usa),Headquarters,81288000000,www.pfizer.com,(212) 733-2323
Abbvie Inc.,Illinois(Usa),Headquarters,56197000000,www.abbvie.com,(847) 932-7900
Novartis Pharmaceuticals Corporation,New Jersey(Usa),Headquarters,49436000000,www.novartis.us,(862) 778-8300
"Merck & Co., Inc.",New Jersey(Usa),Headquarters,48704000000,www.merck.com,(908) 740-4000
Bristol-Myers Squibb Company,New York(Usa),Headquarters,46385000000,www.bms.com,(212) 546-4000
Abbott Laboratories,Illinois(Usa),Headquarters,43075000000,www.abbott.com,(224) 667-6100
Eli Lilly And Company,Indiana(Usa),Headquarters,28318400000,www.lilly.com,(317) 276-2000
"Gilead Sciences, Inc.",California(Usa),Headquarters,27305000000,www.gilead.com,(650) 574-3000
Amgen Inc.,California(Usa),Headquarters,25979000000,www.amgen.com,(805) 447-1000
"Moderna, Inc.",Massachusetts(Usa),Headquarters,18471000000,www.modernatx.com,(617) 714-6500
Viatris Inc.,Pennsylvania(Usa),Headquarters,17886300000,,(304) 599-2595
Regeneron Pharmaceuticals Inc,New York(Usa),Headquarters,16071700000,www.regeneron.com,(914) 847-7000
Celgene Corporation,New Jersey(Usa),Headquarters,15281000000,www.bms.com,(908) 673-9000
Biogen Inc.,Massachusetts(Usa),Headquarters,10981700000,www.biogen.com,(617) 679-2000
Novo Nordisk Inc.,New Jersey(Usa),Headquarters,8000000000,www.novonordisk-us.com,(609) 987-5800
"Roche Holdings, Inc.",California(Usa),Headquarters,7783575003,www.roche.com,(650) 225-1000
Vertex Pharmaceuticals Incorporated,Massachusetts(Usa),Headquarters,7574400000,www.vrtx.com,(617) 341-6100
Zoetis Inc.,New Jersey(Usa),Headquarters,6675000000,www.zoetis.com,(973) 822-7000
Organon & Co.,New Jersey(Usa),Headquarters,6304000000,www.organon.com,(551) 430-6900
"Alexion Pharmaceuticals, Inc.",Massachusetts(Usa),Headquarters,6069900000,www.alexion.com,(475) 230-2596
Endo Health Solutions Inc.,Pennsylvania(Usa),Headquarters,5318582364,www.endo.com,(484) 216-0000
Elanco Animal Health Incorporated,Indiana(Usa),Headquarters,4765000000,www.elanco.com,(877) 352-6261
"Endo Pharmaceuticals, Inc.",Pennsylvania(Usa),Headquarters,4500000000,www.endo.com,(484) 216-0000
