"company_name","location","location_type","sales","url","phone_number","rnk"
"Bausch Health Companies Inc","Quebec(Canada)","Headquarters",8601000000,"www.bauschhealth.com",NULL,1
"Apotex Inc","Ontario(Canada)","Headquarters",2652752000,"www.apotex.com",4164017328,2
"Patheon Inc","Ontario(Canada)","Headquarters",2155361000,"www.patheon.com",9058214001,3
"Arch Biopartners Inc","Ontario(Canada)","Headquarters",1701275774,"www.archbiopartners.com",6474287031,4
"Novartis Pharmaceuticals Canada Inc","Quebec(Canada)","Headquarters",663188000,"www.novartis.ca",5146316775,5
"Bora Pharmaceutical Services Inc","Ontario(Canada)","Headquarters",596869200,"ca.gsk.com",4168002160,6
"Apotex Pharmachem Inc","Ontario(Canada)","Headquarters",530550400,"www.apotex.com",NULL,7
"Abbott Laboratories Co","Quebec(Canada)","Headquarters",497391000,"www.ca.abbott",5148327000,8
"Astrazeneca Canada Inc","Ontario(Canada)","Headquarters",497391000,"www.astrazeneca.ca",8005655877,8
"Pharmascience Inc","Quebec(Canada)","Headquarters",497391000,"www.pharmascience.com",5143409735,8
"Teva Canada Limited","Ontario(Canada)","Headquarters",464231600,"www.tevacanada.com",4162918876,9
"Sanofi Pasteur Limited","Ontario(Canada)","Headquarters",364753400,"www.sanofi.ca",4166672700,10
"Tweed Inc","Ontario(Canada)","Headquarters",342536602,"www.tweed.com",8338189333,11
"Baxter Corporation","Ontario(Canada)","Headquarters",331594000,"www.baxter.ca",9053696000,12
"Factors Group Of Nutritional Companies Inc","British Columbia(Canada)","Headquarters",331594000,"www.naturalfactors.com",6047771757,12
"Pfizer Canada Sri","Quebec(Canada)","Headquarters",331594000,"www.pfizer.ca",5146950500,12
"Jamieson Wellness Inc","Ontario(Canada)","Headquarters",308139872,"investors.jamiesonwellness.com",4169600052,13
"Jamieson Laboratories Ltd","Ontario(Canada)","Headquarters",252011440,"www.jamiesonvitamins.com",4169600052,14
"Sandoz Canada Inc","Quebec(Canada)","Headquarters",248695500,"www.sandoz.ca",4506414903,15
